,Date,Status,MH
0,14-Mar-20,Confirmed,14
1,14-Mar-20,Recovered,0
2,14-Mar-20,Deceased,0
3,15-Mar-20,Confirmed,18
4,15-Mar-20,Recovered,0
5,15-Mar-20,Deceased,0
6,16-Mar-20,Confirmed,6
7,16-Mar-20,Recovered,0
8,16-Mar-20,Deceased,0
9,17-Mar-20,Confirmed,3
10,17-Mar-20,Recovered,0
11,17-Mar-20,Deceased,1
12,18-Mar-20,Confirmed,3
13,18-Mar-20,Recovered,0
14,18-Mar-20,Deceased,0
15,19-Mar-20,Confirmed,4
16,19-Mar-20,Recovered,0
17,19-Mar-20,Deceased,0
18,20-Mar-20,Confirmed,4
19,20-Mar-20,Recovered,0
20,20-Mar-20,Deceased,0
21,21-Mar-20,Confirmed,12
22,21-Mar-20,Recovered,0
23,21-Mar-20,Deceased,0
24,22-Mar-20,Confirmed,10
25,22-Mar-20,Recovered,0
26,22-Mar-20,Deceased,1
27,23-Mar-20,Confirmed,23
28,23-Mar-20,Recovered,0
29,23-Mar-20,Deceased,0
30,24-Mar-20,Confirmed,10
31,24-Mar-20,Recovered,0
32,24-Mar-20,Deceased,0
33,25-Mar-20,Confirmed,15
34,25-Mar-20,Recovered,1
35,25-Mar-20,Deceased,0
36,26-Mar-20,Confirmed,3
37,26-Mar-20,Recovered,0
38,26-Mar-20,Deceased,1
39,27-Mar-20,Confirmed,31
40,27-Mar-20,Recovered,18
41,27-Mar-20,Deceased,1
42,28-Mar-20,Confirmed,30
43,28-Mar-20,Recovered,6
44,28-Mar-20,Deceased,2
45,29-Mar-20,Confirmed,17
46,29-Mar-20,Recovered,0
47,29-Mar-20,Deceased,1
48,30-Mar-20,Confirmed,17
49,30-Mar-20,Recovered,14
50,30-Mar-20,Deceased,2
51,31-Mar-20,Confirmed,82
52,31-Mar-20,Recovered,0
53,31-Mar-20,Deceased,1
54,01-Apr-20,Confirmed,33
55,01-Apr-20,Recovered,0
56,01-Apr-20,Deceased,3
57,02-Apr-20,Confirmed,88
58,02-Apr-20,Recovered,3
59,02-Apr-20,Deceased,8
60,03-Apr-20,Confirmed,64
61,03-Apr-20,Recovered,8
62,03-Apr-20,Deceased,5
63,04-Apr-20,Confirmed,148
64,04-Apr-20,Recovered,2
65,04-Apr-20,Deceased,6
66,05-Apr-20,Confirmed,112
67,05-Apr-20,Recovered,4
68,05-Apr-20,Deceased,13
69,06-Apr-20,Confirmed,121
70,06-Apr-20,Recovered,14
71,06-Apr-20,Deceased,7
72,07-Apr-20,Confirmed,150
73,07-Apr-20,Recovered,9
74,07-Apr-20,Deceased,12
75,08-Apr-20,Confirmed,117
76,08-Apr-20,Recovered,38
77,08-Apr-20,Deceased,8
78,09-Apr-20,Confirmed,229
79,09-Apr-20,Recovered,8
80,09-Apr-20,Deceased,25
81,10-Apr-20,Confirmed,210
82,10-Apr-20,Recovered,63
83,10-Apr-20,Deceased,12
84,11-Apr-20,Confirmed,187
85,11-Apr-20,Recovered,20
86,11-Apr-20,Deceased,17
87,12-Apr-20,Confirmed,221
88,12-Apr-20,Recovered,9
89,12-Apr-20,Deceased,22
90,13-Apr-20,Confirmed,352
91,13-Apr-20,Recovered,12
92,13-Apr-20,Deceased,11
93,14-Apr-20,Confirmed,346
94,14-Apr-20,Recovered,30
95,14-Apr-20,Deceased,18
96,15-Apr-20,Confirmed,236
97,15-Apr-20,Recovered,36
98,15-Apr-20,Deceased,9
99,16-Apr-20,Confirmed,285
100,16-Apr-20,Recovered,5
101,16-Apr-20,Deceased,7
102,17-Apr-20,Confirmed,120
103,17-Apr-20,Recovered,31
104,17-Apr-20,Deceased,7
105,18-Apr-20,Confirmed,327
106,18-Apr-20,Recovered,34
107,18-Apr-20,Deceased,10
108,19-Apr-20,Confirmed,552
109,19-Apr-20,Recovered,142
110,19-Apr-20,Deceased,12
111,20-Apr-20,Confirmed,466
112,20-Apr-20,Recovered,65
113,20-Apr-20,Deceased,9
